TaxId	Scientific_name	Common_name	Category
7748	Lampetra fluviatilis	European river lamprey	Fishes
7757	Petromyzon marinus	Sea lamprey	Fishes
7769	Myxine glutinosa	Atlantic hagfish	Fishes
7781	Raja clavata	Thornback ray	Fishes
7788	Torpedo marmorata	Marbled electric ray	Fishes
7797	Squalus acanthias	Spiny dogfish	Fishes
7815	Prionace glauca	Blue shark	Fishes
7830	Scyliorhinus canicula	Smaller spotted catshark	Fishes
7849	Lamna nasus	NA	Fishes
7852	Alopias vulpinus	Thresher shark	Fishes
7871	Chimaera monstrosa	Rabbit fish	Fishes
7902	Acipenser gueldenstaedtii	Russian sturgeon	Fishes
7903	Acipenser stellatus	Stellate sturgeon	Fishes
7936	Anguilla anguilla	European eel	Fishes
7950	Clupea harengus	Atlantic herring	Fishes
8017	Oncorhynchus gorbuscha	Pink salmon	Fishes
8019	Oncorhynchus kisutch	Coho salmon	Fishes
8022	Oncorhynchus mykiss	Rainbow trout	Fishes
8030	Salmo salar	Atlantic salmon	Fishes
8032	Salmo trutta	River trout	Fishes
8036	Salvelinus alpinus	Arctic char	Fishes
8049	Gadus morhua	Atlantic cod	Fishes
8056	Melanogrammus aeglefinus	Haddock	Fishes
8058	Merlangius merlangus	Whiting	Fishes
8060	Pollachius virens	Saithe	Fishes
8063	Merluccius merluccius	European hake	Fishes
8074	Lophius piscatorius	Angler	Fishes
8097	Myoxocephalus scorpius	Shorthorn sculpin	Fishes
8103	Cyclopterus lumpus	Lumpfish	Fishes
8175	Sparus aurata	Gilthead seabream	Fishes
8204	Anarhichas lupus	Atlantic wolffish	Fishes
8226	Katsuwonus pelamis	Skipjack tuna	Fishes
8228	Euthynnus alletteratus	Little tunny	Fishes
8232	Sarda sarda	Atlantic bonito	Fishes
8237	Thunnus thynnus	Atlantic bluefin tuna	Fishes
8245	Xiphias gladius	Swordfish	Fishes
8260	Platichthys flesus	European flounder	Fishes
8262	Pleuronectes platessa	European plaice	Fishes
8267	Hippoglossus hippoglossus	Atlantic halibut	Fishes
13225	Pomatoschistus minutus	Sand goby	Fishes
13489	Dicentrarchus labrax	European seabass	Fishes
13677	Scomber scombrus	Atlantic mackerel	Fishes
27588	Raja montagui	Spotted ray	Fishes
27590	Tetronarce nobiliana	Atlantic torpedo	Fishes
27689	Acipenser baerii	Siberian sturgeon	Fishes
27697	Sardina pilchardus	Sardine	Fishes
27722	Trisopterus luscus	NA	Fishes
27771	Limanda limanda	Common dab	Fishes
29151	Osmerus eperlanus	European smelt	Fishes
29154	Micropogonias undulatus	Atlantic croaker	Fishes
30804	Chelon ramada	Thin-lipped mullet	Fishes
34785	Callionymus lyra	Dragonet	Fishes
34817	Hippoglossoides platessoides	American plaice	Fishes
34819	Glyptocephalus cynoglossus	Witch	Fishes
36177	Acipenser oxyrinchus	Atlantic sturgeon	Fishes
36212	Trachurus trachurus	Atlantic horse mackerel	Fishes
36219	Boops boops	NA	Fishes
37007	Mullus barbatus	Red mullet	Fishes
38941	Diplodus sargus	White seabream	Fishes
47308	Neogobius melanostomus	Round goby	Fishes
48171	Chelon labrosus	Thicklip grey mullet	Fishes
48191	Chelon auratus	Golden grey mullet	Fishes
48416	Zoarces viviparus	Viviparous blenny	Fishes
50593	Pagellus erythrinus	Common pandora	Fishes
50595	Spondyliosoma cantharus	Black seabream	Fishes
52904	Scophthalmus maximus	Turbot	Fishes
56720	Lipophrys pholis	Shanny	Fishes
56723	Labrus bergylta	Ballan wrasse	Fishes
56726	Pholis gunnellus	Rock gunnel	Fishes
56737	Trachinus draco	Greater weever	Fishes
57982	Cetorhinus maximus	NA	Fishes
61643	Taurulus bubalis	NA	Fishes
61674	Acipenser sturio	Sturgeon	Fishes
61971	Huso huso	Beluga	Fishes
64108	Zeus faber	John dory	Fishes
65125	Scophthalmus rhombus	Brill	Fishes
68454	Scyliorhinus stellaris	Nursehound	Fishes
68502	Maurolicus muelleri	Pearlsides	Fishes
69293	Gasterosteus aculeatus	Three-spined stickleback	Fishes
77914	Galeus melastomus	Blackmouth catshark	Fishes
80722	Trisopterus minutus	Poor cod	Fishes
80723	Trisopterus esmarkii	Norway pout	Fishes
81370	Lampris guttatus	North Atlantic opah	Fishes
81389	Regalecus glesne	King of herrings	Fishes
81636	Micromesistius poutassou	Blue whiting	Fishes
81638	Brosme brosme	NA	Fishes
81640	Enchelyopus cimbrius	Fourbeard rockling	Fishes
82655	Conger conger	European conger	Fishes
84621	Ammodytes tobianus	Small sandeel	Fishes
85417	Gobius niger	Black goby	Fishes
86063	Galeorhinus galeus	Tope shark	Fishes
87757	Mullus surmuletus	Striped red mullet	Fishes
87759	Sarpa salpa	NA	Fishes
90068	Pegusa lascaris	Sand sole	Fishes
90069	Solea solea	Common sole	Fishes
90071	Buglossidium luteum	Solenette	Fishes
90074	Microchirus variegatus	Thickback sole	Fishes
94237	Mola mola	Ocean sunfish	Fishes
94984	Echiichthys vipera	Lesser weever	Fishes
94987	Hexanchus griseus	NA	Fishes
98815	Dentex maroccanus	Morocco dentex	Fishes
98817	Pagellus acarne	Axillary seabream	Fishes
98819	Pagellus bogaraveo	Blackspot seabream	Fishes
98928	Leuciscus aspius	NA	Fishes
106175	Microstomus kitt	Lemon sole	Fishes
107241	Beryx decadactylus	Alfonsino	Fishes
109282	Hippocampus guttulatus	Long-snouted seahorse	Fishes
109283	Hippocampus hippocampus	Short-snouted seahorse	Fishes
112230	Mustelus mustelus	Smooth-hound	Fishes
112232	Mustelus asterias	Starry smooth-hound	Fishes
112728	Polyprion americanus	Wreckfish	Fishes
114866	Myctophum punctatum	Spotted lanternfish	Fishes
118170	Nemichthys scolopaceus	Slender snipe eel	Fishes
125806	Notoscopelus elongatus kroyeri	NA	Fishes
126330	Coris julis	Mediterranean rainbow wrasse	Fishes
129037	Belone belone	NA	Fishes
129061	Scomberesox saurus	NA	Fishes
134920	Pungitius pungitius	Ninespine stickleback	Fishes
146480	Ammodytes marinus	Lesser sand-eel	Fishes
154550	Lepidorhombus whiffiagonis	Megrim	Fishes
159077	Nerophis ophidion	Straightnose pipefish	Fishes
159850	Pomatoschistus lozanoi	Lozano's goby	Fishes
161455	Entelurus aequoreus	Snake pipefish	Fishes
161584	Syngnathus acus	Greater pipefish	Fishes
161589	Syngnathus rostellatus	Nilsson's pipefish	Fishes
161592	Syngnathus typhle	Broad-nosed pipefish	Fishes
163112	Molva molva	Ling	Fishes
163115	Phycis blennoides	NA	Fishes
163117	Raniceps raninus	Tadpole fish	Fishes
163118	Coryphaenoides rupestris	Roundnose grenadier	Fishes
170817	Dalatias licha	Kitefin shark	Fishes
171732	Centrolabrus exoletus	Rock cook	Fishes
171735	Ctenolabrus rupestris	Goldsinny wrasse	Fishes
171736	Symphodus melops	Corkwing wrasse	Fishes
172269	Argyrosomus regius	Meagre	Fishes
173339	Trachinotus ovatus	Derbio	Fishes
182854	Dipturus oxyrinchus	Longnosed skate	Fishes
184585	Engraulis encrasicolus	European anchovy	Fishes
